question,type,target_ids,retrieved_ids,recall,precision,mrr,answer,ground_truth
인터넷이 너무 느리고 요금제도 좀 싼 걸로 바꾸면서 결제 카드도 변경하고 싶어요.,multi,"['faq_22ba27ef707d', 'faq_c447073342a4', 'faq_2866db17a500']","['faq_2866db17a500', 'faq_22ba27ef707d']",0.6666666666666666,1.0,1.0,"인터넷 속도가 느려졌다면, 현재 사용 중인 요금제의 데이터 사용량을 확인해보세요. 데이터가 모두 소진되었을 경우, 인터넷 속도가 제한될 수 있습니다. 이 경우 더 넉넉한 데이터가 포함된 요금제로 변경하시면 속도를 복구할 수 있습니다. 또한 요금제를 부담되지 않는 범위로 변경하실 수도 있습니다. 고객님의 사용 패턴에 맞는 요금제로 변경하여 요금을 절감하실 수 있으니 고객센터로 문의하시기 바랍니다.","속도 개선을 위한 요금제 확인과 요금제 하향, 그리고 자동이체 카드 변경 모두 고객센터에서 처리 가능합니다."
티비가 안 나오고 인터넷도 자꾸 끊기는데 기사님 불러야 하나요?,multi,"['faq_26c3edc882e6', 'faq_563304e5e2ac']","['faq_563304e5e2ac', 'faq_b3b10e6579c9']",0.5,0.5,1.0,"인터넷이 자꾸 끊기는 경우, 모뎀이나 공유기의 전원 어댑터를 분리하고 약 30초 기다렸다가 다시 연결해 보세요. 또한, 전원선과 인터넷 케이블이 제대로 연결되어 있는지 확인하세요. TV 문제가 병행되고 있어서 문제가 해결되지 않으면 기사 방문 점검이 필요할 수 있습니다. 고객센터로 상담을 요청할 수 있습니다.","TV와 인터넷 자가 조치를 먼저 진행해 보시고, 해결되지 않을 경우 방문 점검을 신청하세요."
스팸 차단 신청이랑 자동이체 카드 정보 수정 둘 다 해주세요.,multi,"['faq_c447073342a4', 'faq_9d439aab87a8']",['faq_c447073342a4'],0.5,1.0,1.0,스팸 차단 신청과 자동이체 카드 정보 수정은 참고할 수 있는 FAQ 정보가 없습니다. 관련된 문의는 고객센터로 직접 문의하시기 바랍니다.,고객센터를 통해 스팸차단 서비스 가입과 결제 카드 변경 업무를 한 번에 처리하실 수 있습니다.
요금제 낮추고 싶은데 나중에 돈 더 나올까 봐요. 그리고 소액결제도 차단해주세요.,multi,"['faq_22ba27ef707d', 'faq_dbeed37b6f17', 'faq_13e3f3d61964']","['faq_22ba27ef707d', 'faq_dbeed37b6f17', 'faq_13e3f3d61964']",1.0,1.0,1.0,"요금제를 하향 변경하고 싶으신 경우, 걱정하지 않으셔도 됩니다. 요금제를 변경하더라도 기존에 설정된 요금 구조는 유지되며, 약정 24개월 동안 요금이 인상되지 않습니다. 또한 필요시 초기 1개월 내에 요금제 조정이 가능합니다. 소액결제 차단을 원하시면 고객센터에 문의하셔서 차단 서비스를 신청하실 수 있습니다. 더 자세한 정보가 필요하시면 고객센터로 문의해 주세요.","안심하고 요금제를 낮추셔도 되며, 소액결제 차단 기능을 통해 원치 않는 결제를 막으실 수 있습니다."
인터넷이 아예 안 돼서 선 다 확인했는데 똑같고 티비 화면도 안 나옵니다.,multi,"['faq_b3b10e6579c9', 'faq_26c3edc882e6']","['faq_b3b10e6579c9', 'faq_563304e5e2ac']",0.5,0.5,1.0,"인터넷이 작동하지 않을 경우, 모뎀이나 공유기의 전원을 확인하셨다면 고객센터에 문의해 주시기 바랍니다. TV 화면도 나오지 않는다면, 외부 회선 문제일 가능성이 있으므로 전문 기사의 점검이 필요할 수 있습니다.","모뎀 전원을 다시 확인해 보시고, TV 리모컨의 외부입력 버튼을 눌러 신호를 맞춰보시기 바랍니다."
데이터를 다 써서 느린 건지 인터넷 자체 문제인지 모르겠어요. 선은 다 꽂혀있거든요.,multi,"['faq_b3b10e6579c9', 'faq_2866db17a500']","['faq_2866db17a500', 'faq_b3b10e6579c9']",1.0,1.0,1.0,"인터넷 속도가 느린 이유는 두 가지일 수 있습니다. 먼저, 사용 중인 요금제의 데이터가 소진되었을 경우 속도가 제한될 수 있습니다. 이 경우 데이터가 더 포함된 요금제로 변경하면 속도가 복구될 수 있습니다 [faq_2866db17a500].
또한, 모든 선이 올바르게 연결되어 있는데 인터넷이 불안정하다면 모뎀이나 공유기의 문제일 수 있습니다. 이때는 전원을 다시 연결해 보시고, 문제가 지속되면 고객센터에 문의하시길 권장합니다 [faq_b3b10e6579c9].","데이터 소진 여부를 먼저 체크해 보시고, 모뎀 기기 자체의 연결 상태도 함께 점검해 보세요."
요금제 저렴한 걸로 바꾸면서 카드도 바꾸고 스팸 차단 서비스도 넣어주세요.,multi,"['faq_22ba27ef707d', 'faq_c447073342a4', 'faq_9d439aab87a8']",['faq_22ba27ef707d'],0.3333333333333333,1.0,1.0,"해당 질문과 관련된 정확한 답변은 FAQ에 없으나, 요금제를 저렴한 것으로 변경할 수 있는 방법이 FAQ에 나와 있습니다. 따라서 사용량에 맞는 새로운 요금제로 변경을 고려해 보세요. 카드 변경과 스팸 차단 서비스 추가에 대한 정보는 제공된 FAQ에 없습니다. 더 자세한 상담은 고객센터로 문의해 주세요.","요금 하향 변경과 결제 수단 교체, 스팸 차단 서비스 가입을 고객센터를 통해 한 번에 진행하세요."
티비 화면이 검은색이고 공유기에 인터넷 표시등도 꺼져있는데 어떻게 하죠?,multi,"['faq_26c3edc882e6', 'faq_563304e5e2ac']","['faq_26c3edc882e6', 'faq_563304e5e2ac']",1.0,1.0,1.0,"TV 화면이 검게 되는 경우, 먼저 리모컨의 '외부입력' 버튼을 눌러 입력 신호를 변경해 보세요. 화면이 다시 나오지 않으면 추가적으로 확인이 필요할 수 있습니다. 더 자세한 상담은 고객센터로 문의해 주세요. 또한, 인터넷 표시등이 꺼져있다면 모뎀이나 공유기 전원 어댑터를 분리하고 약 30초 기다렸다가 다시 연결해 보세요. 이후에도 문제가 지속되면 외부 회선 점검이 필요할 수 있습니다. 벽에 연결된 인터넷 선이 잘 꽂혀 있는지 확인하세요. 문제가 계속되면 기사 방문 점검이 필요할 수 있습니다.","리모컨으로 화면 신호를 바꾸시고, 공유기의 전원을 껐다 켜서 인터넷 불이 들어오는지 확인하세요."
소액결제 차단하고 싶은데 이번 달 요금이 왜 이렇게 많이 나왔는지도 알려주세요.,multi,['faq_13e3f3d61964'],['faq_13e3f3d61964'],1.0,1.0,1.0,"이번 달 소액결제 요금이 과다하게 청구된 것 같습니다. 이는 주로 게임 아이템 구매와 같은 유료 콘텐츠에 대한 결제에서 발생할 수 있습니다. 소액결제 기능을 차단하여 앞으로 이러한 상황을 예방하실 수 있으며, 이를 위해 고객센터에 문의하시기 바랍니다. 자세한 상담이 필요하시면 고객센터로 문의해 주세요.",추가 결제 방지를 위한 차단 설정과 이미 발생한 요금의 상세 내역을 상담원을 통해 확인해 보세요.
요금제 바꾸면 나중에 요금 오르는 거 아닌가요? 지금 요금 좀 줄이고 싶어요.,multi,"['faq_22ba27ef707d', 'faq_dbeed37b6f17']","['faq_dbeed37b6f17', 'faq_22ba27ef707d']",1.0,1.0,1.0,"요금제를 변경하시더라도 기존에 설정된 요금 구조는 유지되며, 약정 24개월 동안 자동으로 요금이 인상되지 않습니다. 또한, 요금제가 부담스러우신 경우 요금제를 하향 변경하여 절감할 수 있습니다. 현재 요금제와 데이터를 확인하여 적절한 요금제로 변경할 수 있으며, 다양한 요금제를 비교하여 사용 패턴에 맞는 요금제를 선택하시면 됩니다. 더 궁금한 사항은 고객센터로 문의해 주세요.",요금 걱정 없이 저렴한 요금제로 변경하여 월 고정 지출을 줄이실 수 있습니다.
유튜브가 계속 뱅글뱅글 돌기만 하고 영상이 안 넘어가요.,rough,['faq_2866db17a500'],['faq_b3b10e6579c9'],0.0,0.0,0.0,관련된 답변이 없습니다.,데이터를 모두 사용하셨는지 확인해 보시고 속도 개선을 위해 요금제 변경을 고려해 보세요.
모르는 번호로 광고 전화가 하루에도 수십 번씩 와서 미치겠어요.,rough,['faq_9d439aab87a8'],['faq_9d439aab87a8'],1.0,1.0,1.0,"모르는 번호로 광고 전화가 와서 불편하시다면, U+스팸차단 서비스를 신청하실 수 있습니다. 이 서비스는 광고 전화 및 보이스피싱 의심 번호를 자동으로 걸러주는 기능을 제공합니다. 고객센터에 연락하여 신청하시면 무료로 즉시 서비스를 이용하실 수 있습니다. 더 자세한 상담은 고객센터로 문의해 주세요.",무료로 제공되는 스팸차단 서비스를 가입하여 광고 전화 스트레스를 해결해 보세요.
월급 통장을 바꿔서 핸드폰비 결제하는 카드 좀 고치려고요.,rough,['faq_c447073342a4'],['faq_c447073342a4'],1.0,1.0,1.0,"핸드폰비 결제에 사용되는 자동이체 카드를 변경하시려면 새로운 카드의 카드사 이름과 카드 번호를 준비한 후, 고객센터에 연락하여 카드 변경 요청을 하시면 됩니다. 그러면 상담원이 고객 정보를 확인하고 카드 변경을 진행해 드립니다. 변경된 카드로는 다음 달부터 자동 납부가 됩니다. 이번 달 청구분은 기존 카드로 납부해 주시기 바랍니다. 더 자세한 정보는 고객센터로 문의하십시오.",결제 계좌나 카드가 바뀌셨다면 고객센터를 통해 자동납부 정보를 최신화하시기 바랍니다.
셋톱박스는 켜져 있는데 모니터가 아무것도 안 보이고 먹통이에요.,rough,['faq_26c3edc882e6'],['faq_b3b10e6579c9'],0.0,0.0,0.0,관련된 답변이 없습니다.,기기 전원과 별개로 화면 신호가 안 맞을 수 있으니 리모컨 외부입력 버튼을 눌러보세요.
나 게임 결제한 적 없는데 이번 달 고지서에 돈이 왜 이렇게 많이 찍혔죠?,rough,['faq_13e3f3d61964'],['faq_13e3f3d61964'],1.0,1.0,1.0,소액결제로 인해 요금이 과다 부과될 수 있습니다. 특히 게임 아이템 구매와 같은 유료 콘텐츠에서 발생할 수 있습니다. 소액결제 기능 차단을 원하시면 고객센터에 문의하시기 바랍니다. 자세한 사항은 고객센터에서 확인해 주세요.,본인도 모르게 결제된 내역이 있는지 소액결제 상세 항목을 확인해 보시고 차단을 신청하세요.
공유기에 불이 아예 안 들어오고 인터넷이 안 돼요.,rough,['faq_b3b10e6579c9'],['faq_b3b10e6579c9'],1.0,1.0,1.0,"공유기에 불이 아예 들어오지 않고 인터넷이 작동하지 않는다면, 먼저 모뎀이나 공유기의 전원선이 제대로 연결되어 있는지 확인해 주세요. 전원선이 헐겁거나 빠져있다면 다시 꽂아 주세요. 만약 전원선이 제대로 연결되어 있는데도 불이 들어오지 않으면 고객센터로 문의해 주세요.",단말기 전원 상태를 먼저 점검해 보시고 연결선이 헐겁지 않은지 다시 확인해 보세요.
한 달에 나가는 고정 지출 좀 아끼고 싶은데 방법이 없을까요?,rough,['faq_22ba27ef707d'],[],0.0,0.0,0.0,관련된 답변이 존재하지 않습니다. 도움이 필요하시다면 상담사 연결을 진행해주세요.,사용량에 맞는 실속 있는 요금제로 변경하여 매달 나가는 통신비를 줄여보시기 바랍니다.
나중에 요금 폭탄 맞을까 봐 무서워서 요금제를 못 바꾸겠어요.,rough,['faq_dbeed37b6f17'],['faq_dbeed37b6f17'],1.0,1.0,1.0,"요금제를 변경해도 기존에 설정된 요금 구조는 유지되기 때문에 갑작스럽게 요금이 인상되지 않습니다. 24개월 약정 기간 동안 요금 인상 없이 사용할 수 있으며, 변경 후 초기 1개월 내 요금제 조정도 가능합니다. 안심하시고 진행하셔도 됩니다. 추가 문의는 고객센터로 문의하세요.",변경 후에도 정해진 요금 구조 내에서 관리되므로 추가 요금 인상 걱정은 안 하셔도 됩니다.
컴퓨터 하다가 자꾸 네트워크가 튕기는데 선 문제인가요?,rough,['faq_563304e5e2ac'],['faq_563304e5e2ac'],1.0,1.0,1.0,"네트워크 연결이 자꾸 끊기는 경우, 모뎀이나 공유기의 전원 어댑터를 분리한 후 약 30초 기다렸다가 다시 연결해 보세요. 또한, 벽에 연결된 인터넷 선이 제대로 꽂혀 있는지도 확인하시기 바랍니다. 이런 방법으로도 문제가 해결되지 않으면, 외부 회선 점검이나 기사 방문이 필요할 수 있습니다. 자세한 사항은 고객센터로 문의해 주세요.",접촉 불량이나 일시적 오류일 수 있으니 전원을 껐다 켜보시고 인터넷 선을 꽉 꽂아보세요.
와이파이 신호가 약했다가 강했다가 제멋대로라 너무 불편해요.,rough,['faq_563304e5e2ac'],"['faq_22ba27ef707d', 'faq_9d439aab87a8', 'faq_13e3f3d61964']",0.0,0.0,0.0,관련된 답변이 존재하지 않습니다.,"공유기 전원을 재연결하여 상태를 개선해 보시고, 계속 불안정하면 점검을 받아보세요."
